Pnum,Condition,IBArticle,EBArticle,Accountability_1,Accountability_2,Accountability_3,Accountability_4,Accountability_4_REV,Accountability_5,Accountability_5_REV,Accountability_6,xAccountability,Concern_1,Concern_1_REV,Concern_2,Concern_2_REV,Concern_3,Concern_3_REV,Concern_4,Concern_5,Concern_6,xConcern,Reform_1,Reform_2,Reform_3,Reform_4,Reform_5,xReform,Punish_1,Punish_2,Punish_3,xPunish,BiasPercep_1,BiasPercep_2,BiasPercep_3,BiasPercep_3_REV,BiasPercep_4,xBiasPercep,Attribution,MCP_1,MCP_2,MCP_3,MCP_4,MCP_5,xEMS,MCP_6,MCP_7,MCP_7_REV,MCP_8,MCP_9,MCP_10,xIMS,BiasAware_1,BiasAware_2,BiasAware_3,BiasAware_4,BiasAware_4_REV,xBiasAware,IB_Know_1,IB_Know_2,IB_Know_3,xIBKnow,ArtCheck1,ArtCheck2,BiasDef,Job,MedicalProf,GunOwn,MarijuanaUse,Age,Gender,Gender_Recoded,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_6_TEXT,White_Nonwhite,Cons,Lib,Lib_REV,xCons,Party,Party_TEXT,Exclude,Suspicion,Feedback,Hype,Prev
1,-0.5,0,1,5,5,6,3,5,2,6,6,5.5,3,5,2,6,2,6,7,7,7,6.33,5,5,5,7,6,5.6,6,5,7,6,6,4,5,3,5,4.5,3,5,4,7,5,4,5,5,5,3,6,5,6,5,4,4,6,3,5,4.75,6,6,6,6,2,3,3,retail,0,2,2,23,1,-0.5,0,0,0,1,0,0,,0.5,4,4,4,4,4,,1,0,,,2
2,-0.5,0,1,4,6,6,2,6,2,6,6,5.67,2,6,1,7,2,6,7,7,6,6.5,7,7,7,4,7,6.4,7,7,5,6.33,3,4,5,3,3,3.25,5,4,4,4,4,4,4,7,1,7,7,7,7,7,3,4,5,4,4,4,5,5,6,5.33,3,3,3,student,0,2,2,22,2,0.5,0,0,1,0,0,0,,-0.5,1,7,1,1,1,,1,0,no,not sure,2
3,-0.5,0,1,7,7,7,1,7,3,5,6,6.5,2,6,3,5,3,5,7,7,7,6.17,7,7,7,5,6,6.4,7,7,6,6.67,1,1,7,1,1,1,1,5,4,7,3,3,4.4,7,1,7,7,7,7,7,1,1,1,7,1,1,6,6,6,6,3,3,3,Phone specialist,0,2,1,32,1,-0.5,0,0,1,0,0,0,,-0.5,2,5,3,2.5,1,,1,0,,Seeing how people feel about opinions,2
4,-0.5,0,1,5,3,4,4,4,4,4,4,4,4,4,4,4,3,5,4,3,4,4,4,5,3,4,3,3.8,4,3,4,3.67,4,5,4,4,3,4,4,5,5,3,4,4,4.2,4,4,4,4,4,3,3.8,4,3,4,4,4,3.75,4,5,4,4.33,3,3,3,Assistant Manager,0,2,2,28,1,-0.5,0,0,1,0,0,0,,-0.5,4,4,4,4,3,,1,0,nope,not sure,2
5,-0.5,0,1,6,6,6,2,6,6,2,6,5.33,2,6,2,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,6,2,3,2,2,2,2,1,2,1.8,7,1,7,7,7,7,7,2,2,2,6,2,2,6,6,6,6,3,3,3,Waitress,0,2,2,29,2,0.5,1,0,0,0,0,0,,0.5,4,4,4,4,3,,1,0,no,no,2
6,-0.5,0,1,6,6,6,2,6,2,6,6,6,2,6,2,6,6,2,6,6,2,4.67,6,6,6,6,6,6,6,6,6,6,2,2,6,2,2,2,5,2,2,2,2,2,2,6,2,6,6,6,6,6,2,2,2,6,2,2,6,6,6,6,3,3,3,military,0,1,2,29,1,-0.5,0,0,1,0,0,0,,-0.5,1,7,1,1,3,,1,0,,,2
7,-0.5,0,1,5,6,6,3,5,1,7,6,5.83,2,6,2,6,5,3,6,6,6,5.5,7,5,7,6,6,6.2,6,7,6,6.33,5,5,5,3,4,4.25,7,4,3,4,4,2,3.4,7,1,7,7,7,7,7,4,2,5,3,5,4,7,7,7,7,1,3,3,Unemployed,0,1,1,27,1,-0.5,0,0,1,0,0,0,,-0.5,2,7,1,1.5,1,,1,0,,,2
8,-0.5,0,1,7,7,7,2,6,3,5,6,6.33,2,6,2,6,2,6,7,7,7,6.5,6,6,6,6,6,6,6,6,6,6,3,5,2,6,3,4.25,2,5,6,5,6,5,5.4,2,4,4,3,2,2,2.6,5,3,2,2,6,4,6,6,4,5.33,3,3,3,Self-employed,0,1,1,30,1,-0.5,0,0,1,0,0,0,,-0.5,3,6,2,2.5,3,,1,0,No,Check our opinions on bias,2
9,-0.5,0,1,6,5,5,1,7,7,1,7,5.17,2,6,1,7,1,7,6,7,1,5.67,7,4,7,4,4,5.2,2,4,4,3.33,6,5,5,3,5,4.75,5,4,1,1,4,1,2.2,7,2,6,7,5,7,6.4,5,3,6,2,6,5,7,7,7,7,3,3,3,teacher,0,2,2,32,2,0.5,1,0,0,0,0,0,,0.5,6,3,5,5.5,3,,1,0,,views on implicit bias,2
10,-0.5,0,1,6,7,7,6,2,2,6,7,5.83,6,2,6,2,6,2,6,6,2,3.33,6,2,7,2,2,3.8,2,2,2,2,2,2,6,2,2,2,6,4,2,5,2,2,3,6,3,5,6,5,6,5.6,2,2,5,6,2,2.75,6,5,6,5.67,3,3,3,Software Engineer,0,1,1,25,1,-0.5,0,0,1,0,0,0,,-0.5,5,6,2,3.5,4,Libertarian,1,0,no,Something about bias,2
