Pnum,BiasCondition,HarmCondition,ExplicitLowHarm,ExplicitHighHarm,ImplicitLowHarm,ImplicitHighHarm,Accountability_1,Accountability_2,Accountability_3,Accountability_4,Accountability_4_REV,Accountability_5,Accountability_5_REV,Accountability_6,xAccountability,Concern_1,Concern_1_REV,Concern_2,Concern_2_REV,Concern_3,Concern_3_REV,Concern_4,Concern_5,Concern_6,Concern_7,xConcern,Reform_1,Reform_2,Reform_3,Reform_4,Reform_5,xReform,Punish_1,Punish_2,Punish_3,xPunish,BiasPercep_1,BiasPercep_2,BiasPercep_3,BiasPercep_3_REV,BiasPercep_4,xBiasPercep,Attribution,MCP_1,MCP_2,MCP_3,MCP_4,MCP_5,xEMS,MCP_6,MCP_7,MCP_7_REV,MCP_8,MCP_9,MCP_10,xIMS,BiasAware_1,BiasAware_2,BiasAware_3,BiasAware_4,BiasAware_4_REV,xBiasAware,IB_Know_1,IB_Know_2,IB_Know_3,xIBKnow,BiasDef,Job,MedicalProf,YearBorn,Age,Gender,Gender_Recoded,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_6_TEXT,White_Nonwhite,Cons,Lib,Lib_REV,xCons,Party,Party_TEXT,FESSUP,Suspicion,Feedback,Hype,Prev
1,-0.5,-0.5,1,0,0,0,6,6,7,2,6,3,5,7,6.17,5,3,5,3,5,3,7,6,6,6,4.86,7,5,7,2,2,4.60,3,6,6,5.00,5,5,3,5,5,5.00,5,7,6,6,6,5,6.00,6,3,5,5,5,4,5.00,5,4,5,4,4,4.50,6,6,6,6.00,3,Customer service,0,1978,38,1,-0.50,0,0,1,0,0,0,,-0.50,4,4,4.00,4.00,3,,1,0,,No clue,2
2,-0.5,-0.5,1,0,0,0,7,7,7,5,3,1,7,7,6.33,1,7,1,7,1,7,7,7,7,7,7.00,7,7,7,7,1,5.80,7,7,7,7.00,1,1,7,1,1,1.00,1,1,1,1,1,1,1.00,7,1,7,7,1,7,5.80,1,1,1,1,7,2.50,3,5,4,4.00,3,clerical,0,1979,37,2,0.50,0,0,1,0,0,0,,-0.50,6,2,6.00,6.00,1,,1,0,none,no idea,3
3,-0.5,-0.5,1,0,0,0,5,4,7,5,3,3,5,7,5.17,5,3,5,3,5,3,4,4,4,4,3.57,6,4,1,4,6,4.20,1,3,1,1.67,6,6,1,7,6,6.25,5,1,4,4,1,2,2.40,7,1,7,7,7,7,7.00,5,1,5,6,2,3.25,1,1,4,2.00,4,Biological Technician,0,1991,25,1,-0.50,0,0,1,0,0,0,,-0.50,2,6,2.00,2.00,1,,1,0,,I'm not sure,2
4,-0.5,-0.5,1,0,0,0,3,5,4,4,4,4,4,4,4.00,5,3,4,4,3,5,5,4,4,5,4.29,3,5,3,6,5,4.40,4,4,5,4.33,5,2,5,3,4,3.50,5,3,4,4,5,5,4.20,4,5,3,2,5,4,3.60,4,5,2,4,4,3.75,4,5,4,4.33,3,Data entry,0,1995,21,2,0.50,0,0,1,0,0,0,,-0.50,2,6,2.00,2.00,1,,1,0,No,Examine people's thoughts on ageism,2
5,-0.5,-0.5,1,0,0,0,6,6,6,2,6,5,3,6,5.50,5,3,5,3,5,3,5,6,6,6,4.57,6,5,4,5,4,4.80,3,5,4,4.00,5,5,3,5,3,4.50,4,2,2,5,2,2,2.60,3,3,5,4,3,3,3.60,5,3,2,5,3,3.25,5,5,5,5.00,3,self employed crowd worker,0,1972,44,1,-0.50,0,0,1,0,0,0,,-0.50,2,2,6.00,4.00,4,absolutely none,1,0,No comments,Bias and views about it,3
6,-0.5,-0.5,1,0,0,0,7,7,7,1,7,2,6,7,6.83,3,5,3,5,3,5,7,7,7,7,6.14,7,7,7,5,7,6.60,6,6,6,6.00,1,1,6,2,1,1.25,5,4,2,6,4,1,3.40,7,1,7,7,7,7,7.00,1,2,1,6,2,1.50,4,4,4,4.00,3,Caregiver,0,1968,48,2,0.50,0,0,1,0,0,0,,-0.50,4,4,4.00,4.00,3,,1,0,no,I am not sure,2
7,-0.5,-0.5,1,0,0,0,3,4,4,6,2,6,2,5,3.33,6,2,6,2,6,2,4,5,5,5,3.57,6,3,5,5,5,4.80,4,4,4,4.00,6,5,5,3,6,5.00,6,4,5,4,2,2,3.40,5,2,6,4,5,4,4.80,5,2,6,6,2,3.75,4,4,6,4.67,3,Healthcare,1,1989,27,1,-0.50,0,0,0,1,0,0,,0.50,4,5,3.00,3.50,1,,1,0,no,biases,2
8,-0.5,-0.5,1,0,0,0,7,7,7,1,7,1,7,7,7.00,2,6,1,7,2,6,7,7,7,7,6.71,7,7,7,7,7,7.00,1,2,1,1.33,7,7,1,7,7,7.00,7,7,7,7,7,7,7.00,7,7,1,7,7,7,5.80,7,7,7,6,2,5.75,7,7,7,7.00,3,Manager,0,1993,23,1,-0.50,0,0,1,0,0,0,,-0.50,1,7,1.00,1.00,1,,1,0,I loved it,How we react to bias,2
9,-0.5,-0.5,1,0,0,0,7,7,7,1,7,1,7,7,7.00,1,7,1,7,6,2,7,7,7,7,6.29,6,6,6,5,6,5.80,6,5,3,4.67,6,5,3,5,6,5.50,2,4,3,2,2,2,2.60,5,2,6,5,7,6,5.80,3,1,2,7,1,1.75,2,2,4,2.67,4,self-employed,0,1984,32,2,0.50,1,0,0,0,0,0,,0.50,1,6,2.00,1.50,1,,1,0,no,To determine how people feel about biases,2
10,-0.5,-0.5,1,0,0,0,2,4,4,6,2,2,6,5,3.83,5,3,6,2,6,2,3,5,4,5,3.43,6,4,6,2,4,4.40,4,2,2,2.67,6,6,2,6,6,6.00,5,4,4,4,4,2,3.60,6,3,5,6,6,6,5.80,6,4,2,4,4,4.00,5,5,5,5.00,3,self employed,0,1984,32,2,0.50,0,0,1,0,0,0,,-0.50,2,6,2.00,2.00,1,,1,0,,I don't know,3
11,-0.5,-0.5,1,0,0,0,5,6,5,6,2,3,5,6,4.83,3,5,3,5,3,5,6,6,6,6,5.57,6,6,6,6,4,5.60,3,4,4,3.67,5,5,3,5,5,5.00,5,3,3,3,2,3,2.80,6,2,6,6,6,6,6.00,5,5,5,2,6,5.25,5,5,5,5.00,3,multimedia,0,1993,23,1,-0.50,0,0,1,0,0,0,,-0.50,2,5,3.00,2.50,1,,1,0,good study!,to see what our level of implicit bias is,3
12,-0.5,-0.5,1,0,0,0,7,7,7,1,7,3,5,4,6.17,1,7,1,7,1,7,7,7,7,7,7.00,6,6,6,6,6,6.00,5,7,7,6.33,1,1,7,1,1,1.00,2,3,1,1,3,1,1.80,7,1,7,7,7,7,7.00,1,1,1,7,1,1.00,6,6,1,4.33,3,Insurance customer service rep,0,1995,21,2,0.50,0,0,1,0,0,0,,-0.50,6,2,6.00,6.00,2,,1,0,No,No idea,2
13,-0.5,-0.5,1,0,0,0,7,7,7,2,6,2,6,7,6.67,2,6,2,6,2,6,7,7,4,7,6.14,6,5,7,4,2,4.80,3,5,3,3.67,4,6,2,6,4,5.00,5,1,2,3,4,1,2.20,7,1,7,7,7,7,7.00,4,1,2,5,3,2.50,5,5,6,5.33,3,Receptionist,0,1982,34,2,0.50,1,0,0,0,0,0,,0.50,6,2,6.00,6.00,3,,1,0,"None, thank you",How I feel about bias behavior,2
14,-0.5,-0.5,1,0,0,0,5,6,6,2,6,2,6,6,5.83,1,7,2,6,4,4,7,6,6,6,6.00,6,6,6,6,6,6.00,4,4,4,4.00,4,5,3,5,4,4.50,4,2,4,4,2,2,2.80,5,3,5,5,5,5,5.00,4,2,5,3,5,4.00,6,6,5,5.67,3,teacher,0,1972,44,2,0.50,0,0,1,0,0,0,,-0.50,3,5,3.00,3.00,3,,1,0,,,1
15,-0.5,-0.5,1,0,0,0,6,6,6,2,6,2,6,6,6.00,2,6,2,6,2,6,6,6,6,6,6.00,6,6,6,6,4,5.60,4,5,4,4.33,4,5,4,4,3,4.00,6,7,7,7,7,7,7.00,7,1,7,7,7,7,7.00,7,7,7,2,6,6.75,3,3,5,3.67,3,Administrative assistant,0,1974,42,2,0.50,0,0,1,0,0,0,,-0.50,4,4,4.00,4.00,3,,1,0,None,Studying opinions,2
16,-0.5,-0.5,1,0,0,0,5,5,5,5,3,3,5,3,4.33,3,5,4,4,4,4,6,6,6,6,5.29,6,6,6,6,6,6.00,6,5,5,5.33,3,3,3,5,3,3.50,4,4,4,5,4,4,4.20,4,3,5,5,4,4,4.40,4,4,4,4,4,4.00,5,5,5,5.00,3,HOMEMAKER,0,1963,53,2,0.50,0,0,1,0,0,0,,-0.50,6,1,7.00,6.50,2,,1,0,NO,NOT SURE,2
17,-0.5,-0.5,1,0,0,0,7,7,7,1,7,1,7,7,7.00,1,7,1,7,1,7,7,7,7,7,7.00,7,7,7,7,7,7.00,7,7,7,7.00,5,5,2,6,5,5.25,5,5,1,5,1,1,2.60,7,1,7,7,7,7,7.00,5,1,1,1,7,3.50,5,5,5,5.00,3,small business owner/ construction,0,1969,47,2,0.50,0,0,1,0,0,0,,-0.50,5,1,7.00,6.00,3,,1,0,no,not really sure,2
18,-0.5,-0.5,1,0,0,0,5,6,6,2,6,3,5,6,5.67,3,5,5,3,5,3,6,7,6,7,5.29,6,4,6,3,5,4.80,3,5,3,3.67,6,5,3,5,5,5.25,6,3,5,6,5,5,4.80,6,2,6,6,6,6,6.00,5,3,6,2,6,5.00,5,5,6,5.33,3,Nurse,1,1968,48,2,0.50,1,0,1,0,0,0,,0.50,1,7,1.00,1.00,1,,1,0,No,"Something related to bias, but not sure exact purpose",1
19,-0.5,-0.5,1,0,0,0,1,7,7,1,7,1,7,7,6.00,4,4,4,4,4,4,4,4,4,4,4.00,7,7,7,7,7,7.00,4,4,4,4.00,7,7,7,1,7,5.50,4,1,7,4,1,4,3.40,1,1,7,7,1,7,4.60,4,1,1,4,4,2.50,7,7,7,7.00,3,Manager,0,1967,49,2,0.50,0,1,0,0,0,0,,0.50,4,4,4.00,4.00,3,,1,0,N/A,Bias prejudice,2
20,-0.5,-0.5,1,0,0,0,4,5,5,5,3,2,6,4,4.50,5,3,5,3,5,3,6,6,6,6,4.71,6,6,6,4,5,5.40,3,4,3,3.33,6,6,3,5,6,5.75,6,6,6,6,6,6,6.00,6,2,6,6,7,6,6.20,5,6,6,2,6,5.75,6,6,6,6.00,3,RN,1,1985,31,2,0.50,0,0,1,0,0,0,,-0.50,1,7,1.00,1.00,1,,1,0,:),"To see how people feel about bias of ages, races, etc",3
21,-0.5,-0.5,1,0,0,0,6,6,6,3,5,2,6,6,5.83,3,5,3,5,5,3,6,6,6,6,5.29,6,6,6,6,6,6.00,5,4,4,4.33,5,5,3,5,4,4.75,6,6,4,4,4,4,4.40,6,2,6,6,6,6,6.00,4,5,5,5,3,4.25,6,6,6,6.00,3,Librarian,0,1961,55,1,-0.50,0,0,1,0,0,0,,-0.50,1,7,1.00,1.00,1,,1,0,No,I do not know,2
22,-0.5,-0.5,1,0,0,0,4,5,5,3,5,2,6,7,5.33,3,5,4,4,4,4,4,6,5,7,5.00,7,5,7,5,6,6.00,5,5,5,5.00,5,5,3,5,5,5.00,5,4,3,1,4,4,3.20,7,1,7,5,7,5,6.20,1,1,4,6,2,2.00,7,7,7,7.00,3,Game developer,0,1977,39,1,-0.50,0,0,1,0,0,0,,-0.50,1,7,1.00,1.00,1,,1,0,,To see how people feel about bias,2
23,-0.5,-0.5,1,0,0,0,6,6,6,2,6,2,6,2,5.33,2,6,2,6,2,6,7,7,7,7,6.57,7,7,7,7,7,7.00,6,6,4,5.33,4,5,5,3,4,4.00,5,2,4,5,2,2,3.00,6,2,6,6,6,6,6.00,2,1,2,4,4,2.25,6,6,6,6.00,3,Professional Graphic Designer,0,1966,50,2,0.50,0,0,1,0,0,0,,-0.50,4,4,4.00,4.00,3,,1,0,"Very straight forward, easy to understand and for the most part very easy to answer.  There were a couple of questions that just didn't or didn't quite make sense to me.  Those questions I answered ""neutral.""","To get the people's opinions and beliefs of bias and stereotyping not only in the medical profession of doctors biasing the elderly, but general beliefs and opinions.",2
24,-0.5,-0.5,1,0,0,0,5,6,6,3,5,3,5,5,5.33,2,6,4,4,4,4,6,6,6,5,5.29,5,5,5,5,4,4.80,4,6,4,4.67,3,5,4,4,4,4.00,5,6,5,6,6,5,5.60,6,2,6,6,6,6,6.00,5,4,5,4,4,4.50,3,3,4,3.33,4,Investment Manager,0,1985,31,1,-0.50,0,0,1,0,0,0,,-0.50,2,6,2.00,2.00,1,,1,0,No,Perceptions of race and preconceptions,2
